comments,pos_value_asent,neg_value_asent,probability,estimated_sentiment_flair,estimated_sentiment_textblob,compound_value_asent,neu_value_asent,estimated_subjectivity_textblob
"Nancy was friendly and helpful, and the accommodation was conveniently located. Given the quality of the lodging, however, the rental was expensive.",0.176470588,0,0.81044817,POSITIVE,-0.0625,0.359210604,0.323529412,0.6
It was nice????,0.764369595,0,0.827899158,POSITIVE,0,0.757065242,0.235630405,0
Would go back there any time.,0,0,0.820009172,NEGATIVE,0,0,0,0
Bang for your buck (especially how expensive Singapore can be),0,0,0.626213014,NEGATIVE,-0.25,0,0,0.85
It was near on bus and mrt station.,0,0,0.770710826,NEGATIVE,0.1,0,0,0.4
Location isn't great but MRT is nearby along with hawker centers and convenient stores. Good for visiting locals and tourists willing to take public transportation. ,0.104316547,0,0.562571108,NEGATIVE,0.4375,0.220216785,0.395683453,0.541666667
"Nanda's instructions are very clear and went out of his way to help us store luggage at the location. Didn't realise the street was the actual red district and often we'd come home late at night, so it felt quite  uneasy. Nevertheless, the place is very conveniently placed near the train line and made transportation easy.",0.126953864,0.033223851,0.858427882,NEGATIVE,0.08047619,0.228056625,0.839822285,0.390238095
"Pros:
- Justin is very polite and gave us the check in instructions was very detailed
- Helpful Nympha who stays at the floor above attended to our questions and needs (more hangers, aircon servicing)
- Tiong Bahru estate in general is a chill and convenient place to stay in
Cons
- Room not sound proofed well, could hear occasional noises from outside the room and beneath the building
- En-suite toilet door was creaky and couldn't be closed completely from the outside
- Aircon was not working well when we first arrived, but after the problem was brought up the next day, it got resolved by the night.",0.041940704,0.067283282,0.671630323,NEGATIVE,0.091904762,-0.528956281,0.890776014,0.273809524
"Good Things: Condo is great, has pool, gym, sauna. Very nice environment and usually not crowded. Security guard and workers are very nice.
Bad things: The flat is basically an only ""airbnb place"", so all people there are airbnb guest. They were noisy, and would make noise at night until 4am EVERYNIGHT. We had around 8 people sharing the flat.  So was crowded.
Bathroom is VERY dirty, gotta clean that. Smelling like public toilet. Shower was broken. 
Overall, fair for the price.",0.201526325,0.0913618,0.87142545,NEGATIVE,0.143020833,0.139812334,0.616202784,0.536458333
Good but there?€?s others?€? hair beside the bed,0,0,0.89873153,POSITIVE,0.7,0,0,0.6
"I arrived after midnight when there was no reception and I didn't know which room to go. We had to call them and finally got a bed at 2 pm then I was moved to another room the next day. Though the place is close to the main sights, so the location is fine",0.037974684,0.03630363,0.663563073,POSITIVE,0.145833333,-0.03122316,0.592388353,0.458333333
"Location and cleanliness is acceptable. 
 it is mix room and noisy is expected",0.157534247,0.087628866,0.739006519,POSITIVE,-0.1,0.070176718,0.754836887,0.4
A lot of steps in room. Sharp edges. Carefully tread.,0.142857143,0,0.566484809,NEGATIVE,-0.1125,0.04267896,0.19047619,0.875
Other facilities are available except for the small rooms.,0,0,0.729470432,NEGATIVE,0.008333333,0,0,0.391666667
"Good service, but it can sometimes be noisy.",0,0.319148936,0.822155237,POSITIVE,0.7,-0.411764706,0.680851064,0.6
if u drive there wnt be a prob.. groceries can be bought at hdb nearby..!!,0,0,0.504134476,POSITIVE,0,0,0,0
It?€?s good if the client can check in at 12pm,0.208633094,0,0.889674723,NEGATIVE,0.7,0.440433571,0.791366906,0.6
I hope you be more cooperative.,0.325842697,0,0.580349326,NEGATIVE,0.5,0.440433571,0.674157303,0.5
"Overall still a pleasant experience. Hotel is very convenient, located at city center.
Some pointers to improve:
1. WiFi cannot connect from the room
2. TV no signal cannot watch 
3. Unable to change room",0.110607568,0.035947712,0.821143627,NEGATIVE,0.066666667,0.109180409,0.35344472,0.373333333
Everything went smoothly from the first day to the last day. Will try to go back next time.,0,0,0.684903085,NEGATIVE,0.13,0,0,0.18
nice place. very good location. but room is very narrow.,0.366305147,0,0.897299588,NEGATIVE,0.416666667,0.304729549,0.300361519,0.766666667
"Our stay was good except when the AC couldn't cool the room. I had to ask the staff for an electric fan. Since they were so polite and friendly, I'm giving them 4 out of 5 stars.",0.252503617,0,0.885134757,NEGATIVE,0.475,0.553806249,0.747496383,0.583333333
We didn?€?t realise this was a short stay. Staff were helpful though,0.24137931,0,0.855767012,NEGATIVE,0,0.210731808,0.25862069,0.3
...try yourself,0,0,0.614622951,NEGATIVE,0,0,0,0
"Not bad, quite nice but hopefully the price can lower just abit ^",0.197816054,0.250682483,0.526006818,NEGATIVE,0.475,-0.01405754,0.551501463,0.833333333
Worth the short stay and nap in between work,0.191919192,0,0.873882532,NEGATIVE,0.15,0.226347955,0.808080808,0.2
Good for short stay. Only thing is no shelter if coming in raining.,0.210144928,0.098214286,0.570779026,NEGATIVE,0.233333333,0.072237698,0.691640787,0.633333333
"Ling is very nice lady, quit helpful.",0.457069728,0,0.508463979,NEGATIVE,0.78,0.708926979,0.542930272,1
The location is very near to MRT Jalan Besar,0,0,0.639263928,POSITIVE,0.13,0,0,0.52
"I recommend this place for it's great location in Chinatown, close to a lot of famous landmarks in Singapore. The only thing I didn't like was the check-in, it requires you to download an app to do so and follow a bunch of steps, plus I personally experienced several bugs during the process. I know Singapore is all about technology and innovation but that was a bit too much for me, and I work in the tech industry",0.125175148,0,0.825749934,NEGATIVE,0.383333333,0.442804958,0.874824852,0.641666667
"In general, it?€?s a great location. In Little India, directly next to train. Walkable or trainable throughout the city.
The rooms don?€?t have any windows. On one side it is good for sleeping, on the other feels a bit closed. It?€?s a bit pricey but not that out of line with other SG prices. But in general facilities are nice and I would stay again if I needed. 
FYI: ?€?Alex?€? isn?€?t a real person. It?€?s just a big company running an AirBnB as a short stay hotel.",0.088772342,0,0.896606445,NEGATIVE,0.143269231,0.184412411,0.355672102,0.415384615
"Looks like pictures, good location lots of places to eat nearby also close to MTR. This is like a hostel we were on second floor and near kitchen so had smell of food in hallway and room. Rooftop had a good bar and place for a snack, not attached to hotel.",0.176252624,0,0.584384561,NEGATIVE,0.375,0.487106359,0.823747376,0.4
bring ur own tissue,0,0,0.50222671,NEGATIVE,0.6,0,0,1
Good place to work but it get's occasionally noisy at times. Amenities and space are decent at its price point.,0,0.107633315,0.510692835,POSITIVE,0.288888889,-0.127047403,0.392366685,0.463888889
"Pictures did look nicer than the accommodation, as the bathroom for example had some bits that could do with repair but not bad. Busy road is just downstairs, so be aware if light sleeper. Location close to MRT, Chinatown, convenience store/supermarket and eateries.",0.074542897,0,0.513931394,NEGATIVE,0.275,0.255561675,0.258790436,0.479166667
"The listing look exactly like the picture.
2 things might need to be improved:
1. The aircond is lower than 2nd floor and we sleep in 2nd floor feel like no aircond.
2. May consider to add a air purifier near the toilet, otherwise if someone use the toilet 2nd floor odor very bad. 
Check in was smooth. The room is clean.",0.142879482,0.049709806,0.7246176,NEGATIVE,0.014,0.061210349,0.521696426,0.271666667
"Good location, bus stop just in front of the apartment. Overall, it?€?s okay.",0.233707649,0.072847682,0.820422888,NEGATIVE,0.4,0.202102758,0.693444668,0.366666667
Good stay in a good location.,0.537037037,0,0.596001148,NEGATIVE,0.7,0.700349292,0.462962963,0.6
"I was surprise that the place was quiet.  It is not a deluxe apartment because it needs a table and chairs we had to eat on a small coffee table.  no glasses,only one knife, 2 mugs, 2 plastic plates, electric kettle,   rice cooker, one pot and one pan .  They provided one towel each, shampoo & conditioner, TP.  They should provide a power strip because there are not enough plugs. there isn't a door in the bedroom so there is too much light , it needs curtains in the living room.  The air conditioning worked fine and is needed!  The front desk ladies were nice but it is messy and cluttered.",0.064741368,0.023395444,0.809150755,NEGATIVE,0.096354167,0.03591603,0.411863188,0.591666667
"Great location, needs better internet connectivity",0.583333333,0,0.517730176,NEGATIVE,0.65,0.790569415,0.416666667,0.625
"Great location, tram, shops and food all very close. 
Easy to find. 
The bed was very comfortable and clean however the room needs maintenance. Shower was not clean, tiles not clean and mould noticeable to ceiling. 
Room was small but it is as described in description, AC worked great.",0.238089095,0.054686365,0.551359236,NEGATIVE,0.278148148,0.330814355,0.70722454,0.681481481
